file,line,type,commit,author,date,time,timezone,datetime,depth,length
index.html,6,html,cbaa2e1f,Rocio,2026-04-03,15:45:30,-07:00,2026-04-03T15:45:30-07:00,2,58
index.html,7,html,fd9b78ef,Rocio,2026-04-03,16:55:37,-07:00,2026-04-03T16:55:37-07:00,2,38
index.html,8,html,a2427269,Rocio,2026-04-17,08:13:49,-07:00,2026-04-17T08:13:49-07:00,2,45
index.html,9,html,22fa34af,Rocio,2026-04-24,18:11:28,-07:00,2026-04-24T18:11:28-07:00,2,50
index.html,10,html,cbaa2e1f,Rocio,2026-04-03,15:45:30,-07:00,2026-04-03T15:45:30-07:00,0,5
index.html,11,html,cbaa2e1f,Rocio,2026-04-03,15:45:30,-07:00,2026-04-03T15:45:30-07:00,0,4
index.html,12,html,a2427269,Rocio,2026-04-17,08:13:49,-07:00,2026-04-17T08:13:49-07:00,2,37
index.html,13,html,a2427269,Rocio,2026-04-17,08:13:49,-07:00,2026-04-17T08:13:49-07:00,4,27
index.html,14,html,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,4,40
index.html,15,html,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,4,38
index.html,16,html,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,4,39
index.html,17,html,00000000,Not Committed Yet,2026-05-09,11:28:25,-07:00,2026-05-09T11:28:25-07:00,4,35
index.html,18,html,96bc5f37,Rocio,2026-04-10,14:20:50,-07:00,2026-04-10T14:20:50-07:00,4,67
index.html,19,html,a2427269,Rocio,2026-04-17,08:13:49,-07:00,2026-04-17T08:13:49-07:00,2,8
index.html,20,html,e58d7aea,Rocio,2026-04-03,16:07:48,-07:00,2026-04-03T16:07:48-07:00,2,2
index.html,21,html,e58d7aea,Rocio,2026-04-03,16:07:48,-07:00,2026-04-03T16:07:48-07:00,4,16
index.html,22,html,e58d7aea,Rocio,2026-04-03,16:07:48,-07:00,2026-04-03T16:07:48-07:00,2,3
